created_at,author_id,conversation_id,referenced_tweets
2022-08-11 06:14:42+00:00,1090494258228981760,1557463011945840646,[<ReferencedTweet id=1557463011945840646 type=replied_to]
2022-08-12 03:08:19+00:00,735885853969518593,1557470765502660609,[<ReferencedTweet id=1557470765502660609 type=replied_to]
2022-08-11 20:41:38+00:00,1503928293883584516,1557472298130673667,[<ReferencedTweet id=1557472298130673667 type=replied_to]
2022-08-11 02:44:46+00:00,33552354,1557472488245919744,[<ReferencedTweet id=1557472488245919744 type=replied_to]
2022-08-11 14:31:41+00:00,55570984,1557472885165461505,[<ReferencedTweet id=1557736038696878080 type=replied_to]
2022-08-11 20:56:40+00:00,245387166,1557474412395372544,"[<ReferencedTweet id=1481354259123904520 type=quoted, <ReferencedTweet id=1557474412395372544 type=replied_to]"
2022-08-11 15:52:20+00:00,2724172187,1557475329513496577,[<ReferencedTweet id=1557480611471888387 type=replied_to]
2022-08-11 15:41:31+00:00,777052018095624192,1557475862412394502,[<ReferencedTweet id=1557475862412394502 type=replied_to]
2022-08-12 17:34:52+00:00,987476432900317184,1557476477209382918,[<ReferencedTweet id=1557711624835944448 type=replied_to]
2022-08-11 12:20:44+00:00,46021691,1557476634898452482,[<ReferencedTweet id=1557476634898452482 type=replied_to]
2022-08-11 20:14:13+00:00,396467221,1557478196689489920,[<ReferencedTweet id=1557478196689489920 type=replied_to]
2022-08-11 18:41:56+00:00,1551671750617964546,1557479050020638723,[<ReferencedTweet id=1557479050020638723 type=replied_to]
2022-08-11 12:02:24+00:00,1511132895133503488,1557479626389217280,[<ReferencedTweet id=1557479626389217280 type=replied_to]
2022-08-11 16:47:31+00:00,1289535792927379457,1557480561849122819,[<ReferencedTweet id=1557480561849122819 type=replied_to]
2022-08-11 06:17:23+00:00,1090494258228981760,1557481171751247872,[<ReferencedTweet id=1557481171751247872 type=replied_to]
2022-08-12 03:46:41+00:00,708656432242155520,1557483006381662209,[<ReferencedTweet id=1557929275126386688 type=replied_to]
2022-08-11 14:24:03+00:00,351843878,1557483190050324480,[<ReferencedTweet id=1557483190050324480 type=replied_to]
2022-08-11 12:44:04+00:00,1519467986213560320,1557483692095840261,[<ReferencedTweet id=1557483692095840261 type=replied_to]
2022-08-11 19:09:58+00:00,1527253940777242624,1557483736257667075,[<ReferencedTweet id=1557483736257667075 type=replied_to]
2022-08-11 16:06:27+00:00,1240214392245039105,1557484395925225472,[<ReferencedTweet id=1557484395925225472 type=replied_to]
2022-08-11 12:44:52+00:00,1099045070408421376,1557485028308930565,[<ReferencedTweet id=1557485028308930565 type=replied_to]
2022-08-11 18:06:56+00:00,1009612728,1557487407947300870,[<ReferencedTweet id=1557487407947300870 type=replied_to]
2022-08-11 04:53:00+00:00,1545203229138493440,1557488314797654018,[<ReferencedTweet id=1557488314797654018 type=replied_to]
2022-08-11 02:18:28+00:00,374808516,1557490182609305603,[<ReferencedTweet id=1557490182609305603 type=replied_to]
2022-08-11 16:47:03+00:00,33299033,1557490402537660416,[<ReferencedTweet id=1557490402537660416 type=replied_to]
2022-08-11 02:56:45+00:00,126824700,1557490879178444802,[<ReferencedTweet id=1557490879178444802 type=replied_to]
2022-08-11 02:49:04+00:00,1291746989705760768,1557491962600722432,[<ReferencedTweet id=1557491962600722432 type=replied_to]
2022-08-12 15:05:35+00:00,46237983,1557495290629963777,[<ReferencedTweet id=1557495290629963777 type=replied_to]
